k141,max_score_group,CAT_data,score,gene
k141_9779753,lavidaviridae,nah,0,nah
k141_12310662,NCLDV,nah,2,nah
k141_13581122,NCLDV,nah,2,nah
k141_13771951,NCLDV,nah,2,nah
k141_13219451,NCLDV,nah,2,nah
k141_7981766,NCLDV,nah,2,nah
k141_16130150,NCLDV,nah,2,nah
k141_5816191,NCLDV,nah,2,nah
k141_5082091,NCLDV,nah,2,nah
k141_8701492,NCLDV,nah,2,nah
k141_11968929,NCLDV,nah,2,nah
k141_14138008,lavidaviridae,nah,0,nah
k141_3824080,NCLDV,nah,2,nah
k141_2920126,NCLDV,nah,2,nah
k141_6003813,NCLDV,nah,2,nah
k141_17812032,NCLDV,nah,2,nah
k141_11278269,NCLDV,nah,2,nah
k141_768016,lavidaviridae,nah,0,nah
k141_6589868,NCLDV,nah,2,nah
k141_11089311,NCLDV,nah,2,nah
k141_4220039,NCLDV,nah,2,nah
k141_12018073,NCLDV,nah,2,nah
k141_13664431,NCLDV,nah,2,nah
k141_15110729,NCLDV,nah,2,nah
k141_15113149,NCLDV,nah,2,nah
k141_17451201,NCLDV,nah,2,nah
k141_5175640,NCLDV,nah,2,nah
k141_10425776,NCLDV,nah,2,nah
k141_13483642,NCLDV,nah,2,nah
k141_7923965,NCLDV,nah,2,nah
k141_17885444,NCLDV,nah,2,nah
k141_9378124,NCLDV,nah,2,nah
k141_16950214,lavidaviridae,nah,0,nah
k141_12619868,NCLDV,nah,2,nah
k141_2297248,NCLDV,nah,2,nah
k141_10997165,NCLDV,nah,2,nah
k141_12653549,NCLDV,nah,2,nah
k141_13712832,NCLDV,nah,2,nah
k141_7557981,NCLDV,nah,2,nah
k141_5235783,NCLDV,nah,2,nah
k141_9551541,lavidaviridae,nah,0,nah
k141_12957815,NCLDV,nah,2,nah
k141_7763690,lavidaviridae,nah,0,nah
k141_6481094,NCLDV,nah,2,nah
k141_14983216,lavidaviridae,nah,0,nah
k141_13185996,NCLDV,nah,2,nah
k141_170729,NCLDV,nah,2,nah
k141_9740516,NCLDV,nah,2,nah
k141_15184748,NCLDV,nah,2,nah
k141_11387916,NCLDV,nah,2,nah
k141_13525039,NCLDV,nah,2,nah
k141_2172141,NCLDV,nah,2,nah
k141_16632017,NCLDV,nah,2,nah
k141_1423489,NCLDV,nah,2,nah
k141_15384136,lavidaviridae,nah,0,nah
k141_1986802,NCLDV,nah,2,nah
k141_9012705,NCLDV,nah,2,nah
k141_2311475,lavidaviridae,nah,0,nah
k141_6983662,NCLDV,nah,2,nah
k141_4859525,NCLDV,nah,2,nah
k141_17353298,NCLDV,nah,2,nah
k141_13624046,dsDNAphage,nah,0,nah
k141_5316527,NCLDV,nah,2,nah
k141_2014371,NCLDV,nah,2,nah
k141_4775224,NCLDV,nah,2,nah
k141_12342798,lavidaviridae,nah,0,nah
k141_2700173,NCLDV,nah,2,nah
k141_6697826,NCLDV,nah,2,nah
k141_3441829,NCLDV,nah,2,nah
k141_5792963,NCLDV,nah,2,nah
k141_17051077,NCLDV,nah,2,nah
k141_2956724,lavidaviridae,nah,0,nah
k141_1975735,lavidaviridae,nah,0,nah
k141_17399837,dsDNAphage,nah,0,nah
k141_5873846,lavidaviridae,nah,0,nah
k141_16189722,dsDNAphage,nah,0,nah
k141_8893083,dsDNAphage,nah,0,nah
k141_9379342,dsDNAphage,nah,0,nah
k141_4636124,dsDNAphage,nah,0,nah
k141_5122740,NCLDV,nah,2,nah
k141_10543685,dsDNAphage,nah,0,nah
k141_4397383,ssDNA,nah,0,nah
k141_17804988,dsDNAphage,nah,0,nah
k141_12670156,lavidaviridae,nah,0,nah
k141_4553765,dsDNAphage,nah,0,nah
k141_12000638,dsDNAphage,nah,0,nah
k141_5741980,ssDNA,nah,0,nah
k141_5930278,dsDNAphage,nah,0,nah
k141_7607513,dsDNAphage,nah,0,nah
k141_6342202,dsDNAphage,nah,0,nah
k141_14315916,ssDNA,nah,0,nah
k141_16144830,ssDNA,nah,0,nah
k141_9105928,NCLDV,nah,2,nah
k141_3836062,dsDNAphage,nah,0,nah
k141_9160488,ssDNA,nah,0,nah
k141_15515298,lavidaviridae,nah,0,nah
k141_11349416,dsDNAphage,nah,0,nah
k141_3408575,lavidaviridae,nah,0,nah
k141_13744276,dsDNAphage,nah,0,nah
k141_3784442,lavidaviridae,nah,0,nah
k141_15405578,dsDNAphage,nah,0,nah
k141_15097064,lavidaviridae,nah,0,nah
k141_9965781,lavidaviridae,nah,0,nah
k141_10088073,dsDNAphage,nah,0,nah
k141_12939455,dsDNAphage,nah,0,nah
k141_16160874,dsDNAphage,nah,0,nah
k141_3464633,ssDNA,nah,0,nah
k141_8334120,lavidaviridae,nah,0,nah
k141_13944423,dsDNAphage,nah,0,nah
k141_1000083,nah,placeholder,0,nah
k141_10004117,nah,nah,0,nah
k141_10004176,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Bacteria,(superkingdom):,1.00,FCB,group,(clade):,1.00,Bacteroidetes/Chlorobi,group,(clade):,1.00,Bacteroidetes,(phylum):,1.00,Flavobacteriia,(class):,1.00,Flavobacteriales,(order):,1.00,Flavobacteriaceae,(family):,1.00,unclassified,Flavobacteriaceae,(no,rank):,1.00,Flavobacteriaceae,bacterium,TMED42,(species):,1.00",0,nah
k141_10006405,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,0.72",1,TFIIS
k141_10007630,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,0.68,Bacteria,(superkingdom):,0.58,PVC,group,(clade):,0.58,Verrucomicrobia,(phylum):,0.58,unclassified,Verrucomicrobia,(no,rank):,0.58,Verrucomicrobia,bacterium,(species):,0.58",1,MCP
k141_10008235,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Eukaryota,(superkingdom):,1.00",0,nah
k141_10010387,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,0.57,Bacteria,(superkingdom):,0.57",0,nah
k141_10011408,nah,nah,0,nah
k141_10012692,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,0.54,Bacteria,(superkingdom):,0.54,FCB,group,(clade):,0.54,Bacteroidetes/Chlorobi,group,(clade):,0.54,Bacteroidetes,(phylum):,0.54,Bacteroidetes,Order,II.,Incertae,sedis,(order):,0.54,Rhodothermaceae,(family):,0.54,unclassified,Rhodothermaceae,(no,rank):,0.54,Rhodothermaceae,bacterium,TMED105,(species):,0.54",0,nah
k141_10014960,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Bacteria,(superkingdom):,1.00",0,nah
k141_10015347,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Eukaryota,(superkingdom):,1.00,Haptista,(phylum):,1.00,Haptophyta,(class):,1.00,Prymnesiophyceae,(clade):,1.00,Isochrysidales,(order):,1.00,Noelaerhabdaceae,(family):,1.00,Emiliania,(genus):,1.00,Emiliania,huxleyi,(species):,1.00,Emiliania,huxleyi,CCMP1516*,(strain):,1.00",0,nah
k141_10016958,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Bacteria,(superkingdom):,0.56,Terrabacteria,group,(clade):,0.56,Actinobacteria,(phylum):,0.56,Acidimicrobiia,(class):,0.56,Acidimicrobiales,(order):,0.56,Acidimicrobiaceae,(family):,0.56,unclassified,Acidimicrobiaceae,(no,rank):,0.56,Acidimicrobiaceae,bacterium,(species):,0.56",0,nah
k141_10018373,nah,"root,(no,rank):,1.00",0,nah
k141_10020377,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Bacteria,(superkingdom):,1.00,Terrabacteria,group,(clade):,1.00,Cyanobacteria/Melainabacteria,group,(clade):,1.00,Cyanobacteria,(phylum):,1.00",0,nah
k141_10062212,nah,nah,0,nah
k141_10063526,nah,nah,0,nah
k141_10063884,nah,root,0,nah
k141_10064092,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):",0,nah
k141_10064615,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):",0,nah
k141_10065342,nah,"root,(no,rank):,1.00",0,nah
k141_10069299,nah,"root,(no,rank):,1.00",0,nah
k141_10070340,nah,"root,(no,rank):,1.00,cellular,organisms,(n",0,nah
k141_10071482,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):",0,nah
k141_10072185,nah,"root,(no,rank):,1.00",0,nah
k141_10072222,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):",0,nah
k141_10073450,nah,nah,1,RNA_a
k141_10074325,nah,"root,(no,rank):,1.00",0,nah
k141_10074505,nah,nah,0,nah
k141_17466815,nah,nah,0,nah
k141_7752497,nah,nah,0,nah
k141_17956952,nah,nah,0,nah
k141_3099995,nah,nah,0,nah
k141_3800283,nah,nah,0,nah
k141_15778578,nah,nah,0,nah
k141_3278687,nah,nah,0,nah
k141_14683101,nah,nah,0,nah
k141_6160197,nah,nah,0,nah
k141_13032236,nah,nah,0,nah
k141_12776375,nah,nah,0,nah
k141_8560362,nah,nah,0,nah
k141_17611599,nah,nah,0,nah
k141_16561883,nah,nah,0,nah
k141_9981664,nah,nah,0,nah
k141_7498639,nah,nah,0,nah
k141_15525870,nah,nah,0,nah
k141_8658781,nah,nah,0,nah
k141_15492123,nah,nah,0,nah
k141_9473001,nah,nah,0,nah
k141_7511432,nah,nah,0,nah
k141_11128156,nah,nah,0,nah
k141_3467199,nah,nah,0,nah
k141_9265043,nah,nah,0,nah
k141_17106758,nah,nah,0,nah
k141_14046364,nah,nah,0,nah
k141_16538955,nah,nah,0,nah
k141_1214185,nah,nah,0,nah
k141_12076412,nah,nah,0,nah
k141_17251167,nah,nah,0,nah
k141_628011,nah,nah,0,nah
k141_10330,nah,nah,0,nah
k141_1650718,nah,nah,0,nah
k141_12199913,nah,nah,0,nah
k141_10004718,nah,nah,1,DNAPOLB:TFIIS
k141_1002039,nah,nah,1,RNA_a
k141_1002593,nah,nah,1,RNA_a
k141_10030945,nah,nah,1,DNAPOLB
k141_10033579,nah,nah,1,DNAPOLB
k141_10034570,nah,nah,1,RNA_a
k141_10034677,nah,nah,1,pATPase
k141_10036964,nah,nah,1,RNA_a
k141_10073072,nah,nah,1,DNAPOLB
k141_10086102,nah,nah,1,DNAPOLB
k141_10104870,nah,nah,1,MCP
k141_10109484,nah,nah,1,MCP
k141_10117618,nah,nah,1,Primase
k141_10124956,nah,nah,1,DNAPOLB
k141_10125954,nah,nah,1,Primase
k141_10129933,nah,nah,1,RNA_a
k141_10159343,nah,nah,1,RNA_a
k141_10194038,nah,nah,1,RNA_a
k141_10205274,nah,nah,1,RNA_a
k141_10239881,nah,nah,1,RNA_a
k141_10247773,nah,nah,1,MCP
k141_10252137,nah,nah,1,RNA_a
k141_10264181,nah,nah,1,MCP
k141_10278813,nah,nah,1,RNA_a
k141_10280717,nah,nah,1,RNA_a
k141_10284284,nah,nah,1,RNA_a
k141_10304187,nah,nah,1,MCP
k141_10315104,nah,nah,1,DNAPOLB
k141_10320732,nah,nah,1,RNA_a
